 time                    v(in)                   v(out)                 
 6.5084255322982762e-04 -8.1211733025719166e+00  1.5147248291848903e+00 
 6.5283454522181966e-04 -8.1935657563375983e+00  1.4954772651733779e+00 
 6.5482653721381169e-04 -8.2646746914426910e+00  1.4761252194099130e+00 
 6.5681852920580373e-04 -8.3344889687021428e+00  1.4566714651126722e+00 
 6.5881052119779577e-04 -8.4029976517385290e+00  1.4371187919463946e+00 
 6.6080251318978780e-04 -8.4701900086951945e+00  1.4174700055843583e+00 
 6.6279450518177984e-04 -8.5360555139174359e+00  1.3977279272678547e+00 
 6.6478649717377188e-04 -8.6005838496013176e+00  1.3778953933632216e+00 
 6.6677848916576392e-04 -8.6637649074099414e+00  1.3579752549165109e+00 
 6.6877048115775595e-04 -8.7255887900569444e+00  1.3379703772058591e+00 
 6.7076247314974799e-04 -8.7860458128568695e+00  1.3178836392916311e+00 
 6.7275446514174003e-04 -8.8451265052422983e+00  1.2977179335644042e+00 
 6.7474645713373207e-04 -8.9028216122473989e+00  1.2774761652908679e+00 
 6.7673844912572410e-04 -8.9591220959576994e+00  1.2571612521577098e+00 
 6.7873044111771614e-04 -9.0140191369258975e+00  1.2367761238135555e+00 
 6.8072243310970818e-04 -9.0675041355534027e+00  1.2163237214090379e+00 
 6.8271442510170022e-04 -9.1195687134374808e+00  1.1958069971350669e+00 
 6.8470641709369225e-04 -9.1702047146836954e+00  1.1752289137593708e+00 
 6.8669840908568429e-04 -9.2194042071835653e+00  1.1545924441613837e+00 
 6.8869040107767633e-04 -9.2671594838570979e+00  1.1339005708655512e+00 
 6.9068239306966837e-04 -9.3134630638601017e+00  1.1131562855731245e+00 
 6.9267438506166040e-04 -9.3583076937560712e+00  1.0923625886925221e+00 
 6.9466637705365244e-04 -9.4016863486524276e+00  1.0715224888683290e+00 
 6.9665836904564448e-04 -9.4435922333009561e+00  1.0506390025090064e+00 
 6.9865036103763651e-04 -9.4840187831623002e+00  1.0297151533133873e+00 
 7.0064235302962855e-04 -9.5229596654342679e+00  1.0087539717960328e+00 
 7.0263434502162059e-04 -9.5604087800438862e+00  9.8775849481152300e-01 
 7.0462633701361263e-04 -9.5963602606029568e+00  9.6673176507775582e-01 
 7.0661832900560466e-04 -9.6308084753270364e+00  9.4567683069832942e-01 
 7.0861032099759670e-04 -9.6637480279176522e+00  9.2459674468408148e-01 
 7.1060231298958874e-04 -9.6951737584076110e+00  9.0349456447386578e-01 
 7.1259430498158078e-04 -9.7250807439693379e+00  8.8237335145463303e-01 
 7.1458629697357281e-04 -9.7534642996860050e+00  8.6123617048089662e-01 
 7.1657828896556485e-04 -9.7803199792854407e+00  8.4008608939365814e-01 
 7.1857028095755689e-04 -9.8056435758366316e+00  8.1892617853886451e-01 
 7.2056227294954893e-04 -9.8294311224087316e+00  7.9775951028547709e-01 
 7.2255426494154096e-04 -9.8516788926924868e+00  7.7658915854322486e-01 
 7.2454625693353300e-04 -9.8723834015839511e+00  7.5541819828011780e-01 
 7.2653824892552504e-04 -9.8915414057304414e+00  7.3424970503979670e-01 
 7.2853024091751708e-04 -9.9091499040385891e+00  7.1308675445879488e-01 
 7.3052223290950911e-04 -9.9252061381444747e+00  6.9193242178378678e-01 
